2018-11-01 01:43:27,b'@jangmanse @CKxOYTrPHDKNT3C #TRONGOLD #TRX\n\nTRONGOLD gazuaaa ~~~\n\xc2\xa0A man waiting for January lol\n\n@Trongold\n\xc2\xa0@TRONGOLDKorean'
2018-11-01 01:37:57,b'@justinsuntron @joyso_io Go tron. #tron #trx'
2018-11-01 01:37:21,b'@justinsuntron I want to see tron within top 3 and several daily use cases. #tron #trx'
2018-11-01 01:20:32,b'Binance has over 13 million users!\nJoin the #1 Crypto Exchange\n\nhttps://t.co/OLWoh1b8UV \n\n$ELA $MAID $POLY $DOCK\xe2\x80\xa6 https://t.co/PeBsouTftZ'
2018-11-01 01:19:04,b'Hold support and we pump \n\n#trx #tron https://t.co/rVSy1sNUR9'
2018-11-01 01:07:46,b'#TRON #TRX #TRONGOLD\nTRON network will be the most efficient blockchain network.\nAnd I want TRONGOLD is being on ma\xe2\x80\xa6 https://t.co/BQ0RNvrlWt'
2018-11-01 01:05:02,b'#brazilian #banks #ordered to #reopen #cryptocurrency #exchange\xe2\x80\x99s #frozen #accounts \n#bitcoin #ripple #trx #altcoin\xe2\x80\xa6 https://t.co/AvbszKahRg'
2018-11-01 01:05:00,b'Is #tron [TRX] Setting up to Outperform With an Ascending Triangle\n\nhttps://t.co/5D9tue9MKz\n\n#trx $trx'
2018-11-01 01:00:24,b'#cba #turns to #iot and #blockchain #tech for #cross-border #trading \n#instaairdrop #btcnews #ripple #trx #trading\xe2\x80\xa6 https://t.co/eznuDEPYKo'
2018-11-01 00:53:06,b'TRX Workout Plan \xe2\x80\x93 How to strengthen the whole body in 30 minutes #trx #workout  https://t.co/6X5PDZrBXp via @core_tips'
2018-11-01 00:50:08,b'One of the best #personaltrainer\xe2\x80\x99s in #southflorida #TRX #strengthtraining #kickboxing #circuittraining\xe2\x80\xa6 https://t.co/S8yOyfF07l'
2018-11-01 00:45:35,b'TRX is SO undervalued #trx'
2018-11-01 00:39:52,b'@rhettandlink @jenmatichuk #GMM Just Ordered my #CottonCandyRandy Tshirt from #Mythicalstore and cannot wait to wea\xe2\x80\xa6 https://t.co/vAqd84kY4S'
2018-11-01 00:39:16,"b""#bitcoin's 10th anniversary, and no bullrun. What's with the sanity all of a sudden, #crypto market?\n\n#blockchain\xe2\x80\xa6 https://t.co/mCMrdjx35L"""
2018-11-01 00:38:03,"b'\xf0\x9f\x98\xa4 @TronWalletMe has VERIFIED TRONGOLD, and it\xe2\x80\x99s now listed. More great things to come! \n\n@TronWalletMe \n#TRONGOLD\xe2\x80\xa6 https://t.co/oo65XqE5Kx'"
2018-11-01 00:32:56,b'#TRON #TRX #TRONGOLD\nTRON network will be the most efficient blockchain network.\nAnd I want TRONGOLD is being on ma\xe2\x80\xa6 https://t.co/2C5LrbHu8O'
2018-11-01 00:32:00,"b""@CKxOYTrPHDKNT3C @justinsuntron @TRONGOLDTOKEN @SnowsCrypt @TronKR @TronNews_ @BRGRTron Indeed I'm very proud to be\xe2\x80\xa6 https://t.co/wezhNkMI0Q"""
2018-11-01 00:30:04,b'HLX #Vaultmex Price Alert \n Time: 2018-11-01 03:30:04\n#HLX 0.00000040BTC\n Change:-99.20%\n#instaico #bitcoin #trx\xe2\x80\xa6 https://t.co/BqeN0UG80p'
2018-11-01 00:23:58,"b'This is my comeback to Twitter, have new phone and im fully prepared.\nNow lets do this, how are you my Crypto Famil\xe2\x80\xa6 https://t.co/jbCmWSaaXI'"
2018-11-01 00:23:09,b'BINANCE REGISTRATIONS OPEN!\n\nRegister RIGHT NOW at the #1 Crypto Exchange:\n\nhttps://t.co/GxqrML0YSN\n\n$VEN $BTG $LSK\xe2\x80\xa6 https://t.co/BRu1iC5mzF'
