,,,,,,
1,,,,,,
Tub,,,,,,
 03/05/2019,160565, 8 ,(91),HRF01,,
 03/05/2019,160569, 4 ,(95),HRF01,,
 03/05/2019,160570, 8 ,(103),HRF01,,
 03/05/2019,160573, 4 ,(107),HRF01,,
 03/05/2019,160574, 12 ,(119),HRF01,,
 03/05/2019,160575, 4 ,(123),HRF01,,
 03/05/2019,160576, 4 ,(127),HRF01,,
 03/05/2019,160577, 4 ,(131),HRF01,,
 03/05/2019,160579, 4 ,(135),HRF01,,
 03/05/2019,160581, 4 ,(139),HRF01,,
 03/05/2019,160584, 8 ,(147),HRF01,,
 03/05/2019,160585, 8 ,(155),HRF01,,
 03/05/2019,160586, 4 ,(159),HRF01,,
 03/05/2019,160588, 4 ,(163),HRF01,,
 03/05/2019,160590, 8 ,(171),HRF01,,
 03/05/2019,160594, 4 ,(175),HRF01,,
 03/06/2019,160322, 24 ,(199),HRF01,,
 03/06/2019,160430, 36 ,(235),HRF01,,
 03/06/2019,160472, 36 ,(271),HRF01,,
 03/06/2019,160484, 15 ,(286),HRF01,,
 03/06/2019,160615, 6 ,(292),HRF01,,
 03/07/2019,160461, 6 ,(298),HRF01,,
 03/08/2019,160496, 72 ,(370),HRF01,,
 03/11/2019,160346, 72 ,(442),HRF01,,
 03/11/2019,160520, 12 ,(454),HRF01,,
 03/11/2019,160528, 6 ,(460),HRF01,,
 03/12/2019,160596, 12 ,(472),HRF01,,
 03/12/2019,160604, 6 ,(478),HRF01,,
 03/14/2019,160597, 48 ,(526),HRF01,,
 03/14/2019,160620, 6 ,(532),HRF01,,
 03/18/2019,160523, 48 ,(580),HRF01,,
007037,HR Wht 4/8 lb SysCl, 60 ,,,,
9057M,98.89% , 60 ,,,,
,,,,,,
,,,,,,
 03/06/2019,160472, 72 ,(48),HRF01,,
 03/06/2019,160615, 240 ,(288),HRF01,,
 03/07/2019,160480, 6 ,(294),HRF01,,
 03/07/2019,160483, 36 ,(330),HRF01,,
 03/08/2019,160626, 456 ,(786),HRF01,,
 03/14/2019,160479, 18 ,(804),HRF01,,
 03/14/2019,160600, 36 ,(840),HRF01,,
 03/14/2019,160616, 36 ,(876),HRF01,,
007147,HR Wht 4/8 lb Monarch, 435 ,,,,
9053M,96.67% , 99 ,,,,
9058M,99.44% , 336 ,,,,
,,,,,,
,,,,,,
 03/13/2019,160609, 48 ,(4),HRF01,,
