Finished Product Item Listing,,,,,,,,
"Cross reference between Product Code, Ross #, and Formula #",,,,,,,,
Item,Item Description,Pack Size,Label or Customer Name,Ross WIP #,Allergen / Sensitizer,Non K,Comments,
HRP0100,HR Peroxidase,250 gal Tote,Tulkoff,HRP01,na,,,
001001,HR WHITE,12/5 OZ,Tulkoff,HRF03,Bisulfite,,,
003128,HR WHITE,4/8 LB,Outback,HRF01,na,,,
004001,HR WHITE,2/32 OZ,Tulkoff,HRF01,na,,,
007001,HR WHITE,4/8 LB,Tulkoff,HRF01,na,,,
007037,HR WHITE,4/8 LB,Sysco Classic,HRF01,na,blue pallet,,
007057,HR WHITE,4/8LB,CobbMkt Originals,HRF01,na,,,
007147,HR WHITE,4/8 LB,Monarch,HRF01,na,,,
009001,HR WHITE,6/32 OZ,Tulkoff,HRF01,na,,,
009037,HR WHITE,6/32 OZ,Sysco Classic,HRF01,na,blue pallet,,
009057,HR WHITE,6/32 OZ,CobbMkt Originals,HRF01,na,,,
009108,HR WHITE,6/32 OZ,White Mustang,HRF01,na,,,
009147,HR WHITE,6/32 OZ,Monarch,HRF01,na,,,
011001S,TGR SCE DRESS.,4/1 GAL,Tulkoff,TID01S,Egg & Mustard,,,
013001S,CKTL SAUCE,12/8 OZ,Tulkoff,CSR01S,na,,,
013356S,CKTL SAUCE,12/9 OZ,Fresh Market,CSR01S,na,,,
014001S,CKTL SAUCE,4/8 LB,Tulkoff,CSR01S,na,,,
014037S,CKTL SAUCE,4/8 LB,Sysco Classic,CSR01S,na,blue pallet,,
015001S,CKTL SCE X BOLD,4/8 LB,Tulkoff,CSB02S,na,,,
016037,TIGER SAUCE,4/1 GAL,Sysco Classic,TIS01S,Egg & Mustard,blue pallet,,
017356S,CKTL SCE BOLD,12/9 OZ,Fresh Market,CSB03S,na,,,
025229S,CKTL SAUCE,24/8 OZ,Publix,CSR01S,na,blue pallet,,
027001,HR WHITE,200# Drum,Tulkoff,HRF09,na,,,
027200,HR WHITE,200# Drum,T-Coarse,HRC01,na,,,
027215,HR WHITE,400# Drum,Kraft,HRC01,na,MICRO TEST(5),Special micro tests,
028001,HR WHITE,12/8 OZ,Tulkoff,HRF03,Bisulfite,,,
028054,HR WHITE,12/8 OZ,Rosol,HRF03,Bisulfite,,,
028061,HR WHITE,12/8 OZ,Shoprite-P,HRF05,Bisulfite,,Passover,
028087,HR WHITE,12/8 OZ,T-Passover,HRF05,Bisulfite,,Passover,
028098,HR WHITE,12/8 OZ,Shoprite,HRF03,Bisulfite,,,
028156,HR WHITE,12/8 OZ,Gordon Choice,HRF01,na,blue pallet,,
030001,HR WHITE,200# Drum,Tulkoff,HRF07,na,,no artificial flavor,
031001,HR WHITE,200# Drum,Tulkoff,HRF01,na,,,
032001,HR RED,4/8 LB,Tulkoff,HRR01,na,,Fine grind - Red - w/ sod benzoate,
033001,HR RED,12/8 OZ,Tulkoff,HRR01,na,,Fine grind - Red - w/ sod benzoate,
033054,HR RED,12/8 OZ,Rosol,HRR01,na,,Fine grind - Red - w/ sod benzoate,
033061,HR RED,12/8 OZ,Shoprite-P,HRR02,na,,Fine grind - Red - w/ sod benzoate - P'ovr,
033087,HR RED,12/8 OZ,T-Passover,HRR02,na,,Fine grind - Red - w/ sod benzoate - P'ovr,
033098,HR RED,12/8 OZ,Shoprite,HRR01,na,,Fine grind - Red - w/ sod benzoate,
034215,HR WHITE,30# Pail,Kraft,HRC02,na,MICRO TEST (5),no artificial flavor,
040219,HR WHITE,30# Pail,T (Richelieu),HRF09,na,,,
