Product Code,Item Description (WIP Name),Pack Size,Label or Customer Name,Ross WIP #,Line,BLENDING ROOM,GRINDING ROOM,Notes,  WIP BATCH SIZE POUNDS,Minimum Wt.,MinimumWt. using MAV,MAV,Target Wt.,Maximum Wt.
634276,BUFFALO RANCH,4/1 GAL,SIR KENSINGTON'S,SRK17,GALLON,X,,,1712,,,,,
635276,CLASSIC RANCH,400# Drum,SIR KENSINGTON'S,SRK14,DRUM,X,,,1698,,,,,
636276,PIZZA RANCH,400# Drum,SIR KENSINGTON'S,SRK16,DRUM,X,,,1552,,,,,
637276,AVOCADO RANCH,400# Drum,SIR KENSINGTON'S,SRK15,DRUM,X,,,1546,,,,,
638276,BUFFALO RANCH,400# Drum,SIR KENSINGTON'S,SRK17,DRUM,X,,,1712,,,,,
641276,SIRACHA MAYO,4/1 GAL,SIR KENSINGTON'S,SRK06,GALLON,X,,,1234*,,,,,
642276,ORGANIC MAYO ,6/16 FL OZ,SIR KENSINGTON'S,SRK09,RETAIL,X,,,1871,,,,,
643276,CHIPOTLE MAYO,6/10 FL OZ,SIR KENSINGTON'S,SRK10,RETAIL,X,,,1800,,,,,
714131,GINGER PLUM SAUCE,4/9.06 LBS,MELTING POT,71413,RETAIL,X,,,3000,3000,2914,86,3090,3183
714141,TERIYAKI GLAZE,4/8.75 LBS,MELTING POT,71414,RETAIL,X,,,3000,3000,2914,86,3090,3183
PURCHASED CO-PACKED ITEMS,,,,,,,,,,,,,,
021001,GARLIC SPREAD,6/4 LB,TULKOFF,CP-FEGT,CP-FEGT,,,,,, ,,  ,
021125,GARLIC SPREAD,6/4 LB,ROSELI,CP-FEGT,CP-FEGT,,,,,,,,,
035001,GARLIC SPREAD,6/2 LB,TULKOFF,REPACK,REPACK,,,,,,,,,
035036,GARLIC SPREAD,6/2 LB,ARREZZIO,CP-FEGT,CP-FEGT,,,,,,,,,
035105,GARLIC SPREAD,6/2 LB,NATURAL PACK,REPACK,REPACK,,,,,,,,,
035125,GARLIC SPREAD,6/2 LB,ROSELI,CP-FEGT,CP-FEGT,,,,,,,,,
037001,GARLIC SPREAD,2/2 LB,TULKOFF,REPACK,REPACK,,,,,,,,,
038001,ZERO T GARLIC SPRD,6/2 LB,TULKOFF,CP-FEGZ,CP-FEGZ,,,,,,,,,
039036,GARLIC SPREAD,6/2 LB,ARREZZIO,CP-10209,CP-10209,,,,,,,,,
158001,SCAMPI ZERO T,2/2.5 LB,TULKOFF,CP-30510,CP-30510,,,,,,,,,
259197,GARLIC SPREAD,2/4 LB,ROMA,REPACK,REPACK,,,,,,,,,
335125,GARLIC SPREAD,6/2 LB,ROSELI,REPACK,REPACK,,,,,,,,,
025000,HR ROOTS WASH,na,TULKOFF,na,na,,,,,,,,,
026000,HR ROOTS DIRTY,na,TULKOFF,na,na,,,,,,,,,
